Title,Author,Description,Genres,cover
The Book of Laughter and Forgetting,"Milan Kundera, Aaron Asher (Translator), Serena Vitale (translator)","Rich in its stories, characters, and imaginative range, The Book of Laughter and Forgetting is the novel that brought Milan Kundera his first big international success in the late 1970's. Like all his work, it is valuable for far more than just its historical implications. In seven wonderfully integrated parts, different aspects of human existence are magnified and reduced, reordered and emphasized, newly examined, analyzed and experienced.","['Fiction', 'Czech Literature', 'Literature', 'Philosophy', 'Classics', 'Novels', 'Short Stories', 'Literary Fiction', 'Contemporary', '20th Century']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446568718l/240976.jpg
Horrid Henry And The Abominable Snowman,Francesca Simon,"This is a collection of four Horrid Henry tales - Horrid Henry and the abominable snowman, Horrid Henry's rainy day, Moody Margaret's makeover, and Horrid Henry's author visit.","['Childrens', 'Audiobook', 'Fiction', 'Humor', 'Middle Grade', '2nd Grade', 'Chapter Books']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347393895l/1553928.jpg
Radical Enlightenment: Philosophy and the Making of Modernity 1650-1750,Jonathan I. Israel,"In the wake of the Scientific Revolution, the late seventeenth and eighteenth centuries saw the complete demolition of traditional structures of authority, scientific thought, and belief by the new philosophy and the philosophers, including Voltaire, Diderot, and Rousseau. The Radical Enlightenment played a part in this revolutionary process, which effectively overthrew all justification for monarchy, aristocracy, and ecclesiastical power, as well as man's dominance over woman, theological dominance of education, and slavery. Despite the present day interest in the revolutions of the eighteenth century, the origins and rise of the Radical Enlightenment have received limited scholarly attention. The greatest obstacle to the movement finding its proper place in modern historical writing is its international scope: the Radical Enlightenment was not French, British, German, Italian, Jewish or Dutch, but all of these at the same time.In this wide-ranging volume, Jonathan Israel offers a novel interpretation of the Radical Enlightenment down to La Mettie and Diderot, two of its key exponents. Particular emphasis is placed on the pivotal role of Spinoza and the widespread underground international philosophical movement known before 1750 as Spinozism.","['Philosophy', 'History', 'European History', 'Nonfiction', 'Religion', 'Science', '18th Century', 'France']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388926959l/189369.jpg
Phaze Doubt,Piers Anthony,"The merged worlds of Phaze and Proton face a new threat from an invading force--leaving the fate of the two planets in the hands of Nepe/Flach and Lysander, two children possessing magical powers.","['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'Young Adult', 'Speculative Fiction', 'Adventure', 'Adult', 'Unicorns']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309288098l/542604.jpg
"Through a Glass, Darkly","Jostein Gaarder, Elizabeth Rokkan (Translator)","It's almost Christmas. Cecilia lies sick in bed as her family bustle around her to make her last Christmas as special as possible. Cecilia has cancer. An angel steps through her window. So begins a spirited and engaging series of conversations between Cecelia and her angel. As the sick girl thinks about her life and prepares for her death, she changes subtly, in herself and in her relationships with her family. Jostein Gaarder is a profoundly optimistic writer, who writes about death with wisdom, compassion and an enquiring mind. 'Through a Glass, Darkly' will not only bring comfort to the bereaved. It will move and amaze everyone who reads it.","['Fiction', 'Philosophy', 'Young Adult', 'Fantasy', 'Novels', 'Scandinavian Literature', 'Childrens', 'Literature', 'Contemporary', 'Christmas']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1167711294l/25405._SY475_.jpg
Asterix in Switzerland,"René Goscinny, Albert Uderzo (illustrator)","The governor of Gaul has always been a creative accountant. Now he's under investigation by Vexatius Sinusititis, or he was, until someone poisons the investigator. In order to heal Vexatius, Asterix and Obelix set off to locate a special flower that grows only in Helvetia.","['Comics', 'Bande Dessinée', 'Graphic Novels', 'Humor', 'Fiction', 'Historical Fiction', 'France', 'Comic Book', 'Graphic Novels Comics', 'Childrens']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337452126l/4339326.jpg
City of Time,Eoin McNamee,"CATI, THE BOLD Watcher readers met in The Navigator, returns from the shadows of time to summon Owen and Dr. Diamond, for time is literally running out. The moon is coming closer to the earth, causing havoc with weather, tides, and other natural cycles; people fear the world will end. To discover what’s gone wrong, Cati, Owen, and the Doctor must take an astonishing journey to the City of Time, where time is bought and sold. There, Owen begins to understand his great responsibility and power as the Navigator.","['Fantasy', 'Fiction', 'Young Adult', 'Adventure', 'Time Travel', 'Childrens', 'Adult', 'Magic', 'Juvenile', 'Action']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320552850l/2181092.jpg
The Room,Hubert SelJr.,"Secluded in his remand cell, a small-time criminal surrenders himself to sadistic fantasies of hatred and revenge. Selby's second novel is a claustrophobic descent into the tormented soul of a man trapped in a loveless society.","['Fiction', 'Horror', 'Thriller', 'Dark', 'Drama', 'Mystery', 'Novels', 'Contemporary', 'Adult', 'Psychological Thriller']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388962283l/50274.jpg
Helen's Babies,John Habberton,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,"['Fiction', 'Classics', 'Humor', 'Comedy', 'Romance', 'Childrens']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391573928l/20735648.jpg
The Testaments,Margaret Atwood (Goodreads Author),"An alternate cover edition of ISBN 978-0385543781 can be found here.When the van door slammed on Offred's future at the end of The Handmaid's Tale, readers had no way of telling what lay ahead for her--freedom, prison or death.With The Testaments, the wait is over.Margaret Atwood's sequel picks up the story more than fifteen years after Offred stepped into the unknown, with the explosive testaments of three female narrators from Gilead.In this brilliant sequel to The Handmaid's Tale, acclaimed author Margaret Atwood answers the questions that have tantalized readers for decades.""Dear Readers: Everything you've ever asked me about Gilead and its inner workings is the inspiration for this book. Well, almost everything! The other inspiration is the world we've been living in."" --Margaret Atwood","['Fiction', 'Dystopia', 'Science Fiction', 'Feminism', 'Audiobook', 'Canada', 'Adult', 'Literary Fiction', 'Speculative Fiction', 'Novels']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549292344l/42975172.jpg
The Hungry Ocean: A Swordboat Captain's Journey,Linda Greenlaw,"The term fisherwoman does not exactly roll trippingly off the tongue, and Linda Greenlaw, the world's only female swordfish boat captain, isn't flattered when people insist on calling her one. ""I am a woman. I am a fisherman. . . I am not a fisherwoman, fisherlady, or fishergirl. If anything else, I am a thirty-seven-year-old tomboy. It's a word I have never outgrown."" Greenlaw also happens to be one of the most successful fishermen in the Grand Banks commercial fleet, though until the publication of Sebastian Junger's The Perfect Storm, ""nobody cared."" Greenlaw's boat, the Hannah Boden, was the sister ship to the doomed Andrea Gail, which disappeared in the mother of all storms in 1991 and became the focus of Junger's book. The Hungry Ocean, Greenlaw's account of a monthlong swordfishing trip over 1,000 nautical miles out to sea, tells the story of what happens when things go right -- proving, in the process, that every successful voyage is a study in narrowly averted disaster. There is the weather, the constant danger of mechanical failure, the perils of controlling five sleep-, women-, and booze-deprived young fishermen in close quarters, not to mention the threat of a bad fishing run: ""If we don't catch fish, we don't get paid, period. In short, there is no labor union."" Greenlaw's straightforward, uncluttered prose underscores the qualities that make her a good captain, regardless of gender: fairness, physical and mental endurance, obsessive attention to detail. But, ultimately, Greenlaw proves that the love of fishing -- in all of its grueling, isolating, suspenseful glory -- is a matter of the heart and blood, not the mind.  ""I knew that the ocean had stories to tell me, all I needed to do was listen."" -- Svenja Soldovieri","['Nonfiction', 'Memoir', 'Adventure', 'Biography', 'Biography Memoir', 'Autobiography', 'Nature', 'Travel', 'Maritime', 'History']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442500712l/173165._SY475_.jpg
"The Seven Deadly Sins, Vol. 4",Nakaba Suzuki,"Reunions and Farewells

The Grizzly Sin, King, is alive! Unfortunately, King not only refuses to help Meliodas, he declares Ban as his mortal enemy for having attained eternal life at the cost of the life of his sister Elaine. During a gripping confrontation between King and Ban, the fearsomely skilled Holy Knight Gila comes bearing startling disaster and devastation!","['Manga', 'Fantasy', 'Comics', 'Shonen', 'Magic', 'Graphic Novels', 'Anime', 'Adventure', 'Fiction', 'Romance']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400870826l/20299723.jpg
Titan,John Varley,"It begins with humankind's exploration of a massive satellite orbiting Saturn. It culminates in a shocking discovery: the satellite is a giant alien being. Her name is Gaea. Her awesome interior is mind-boggling—because it is a mind. A mind that calls out to explorers, transforming all who enter.","['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Space Opera', 'Aliens', 'Audiobook', 'LGBT', 'Novels']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388244043l/49838.jpg
The Serengeti Rules: The Quest to Discover How Life Works and Why It Matters,Sean B. Carroll,"How does life work? How does nature produce the right numbers of zebras and lions on the African savanna, or fish in the ocean? How do our bodies produce the right numbers of cells in our organs and bloodstream? In ""The Serengeti Rules,"" award-winning biologist and author Sean Carroll tells the stories of the pioneering scientists who sought the answers to such simple yet profoundly important questions, and shows how their discoveries matter for our health and the health of the planet we depend upon.One of the most important revelations about the natural world is that everything is regulated--there are rules that regulate the amount of every molecule in our bodies and rules that govern the numbers of every animal and plant in the wild. And the most surprising revelation about the rules that regulate life at such different scales is that they are remarkably similar--there is a common underlying logic of life. Carroll recounts how our deep knowledge of the rules and logic of the human body has spurred the advent of revolutionary life-saving medicines, and makes the compelling case that it is now time to use the Serengeti Rules to heal our ailing planet.A bold and inspiring synthesis by one of our most accomplished biologists and gifted storytellers, ""The Serengeti Rules"" is the first book to illuminate how life works at vastly different scales. Read it and you will never look at the world the same way again.","['Science', 'Nonfiction', 'Biology', 'Nature', 'Animals', 'Evolution', 'Environment', 'Ecology', 'History', 'Natural History']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449426097l/26597346.jpg
Keeper'n Me,Richard Wagamese,"When Garnet Raven was three years old, he was taken from his home on an Ojibway Indian reserve and placed in a series of foster homes. Having reached his mid-teens, he escapes at the first available opportunity, only to find himself cast adrift on the streets of the big city.Having skirted the urban underbelly once too often by age 20, he finds himself thrown in jail. While there, he gets a surprise letter from his long-forgotten native family.The sudden communication from his past spurs him to return to the reserve following his release from jail. Deciding to stay awhile, his life is changed completely as he comes to discover his sense of place, and of self. While on the reserve, Garnet is initiated into the ways of the Ojibway--both ancient and modern--by Keeper, a friend of his grandfather, and last fount of history about his people's ways.By turns funny, poignant and mystical, Keeper'n Me reflects a positive view of Native life and philosophy--as well as casting fresh light on the redemptive power of one's community and traditions.","['Fiction', 'Canada', 'Historical Fiction', 'Read For School', 'School', 'Literary Fiction', 'Spirituality', 'Philosophy', 'Politics', 'Audiobook']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320551554l/590560.jpg
The Black Widow,Daniel Silva,"A network of terror.A web of deceit.A deadly game of vengeance.Legendary spy and art restorer Gabriel Allon is poised to become the chief of Israel’s secret intelligence service. But on the eve of his promotion, events conspire to lure him into the field for one final operation. ISIS has detonated a massive bomb in the Marais district of Paris, and a desperate French government wants Gabriel to eliminate the man responsible before he can strike again.They call him Saladin …He is a terrorist mastermind whose ambition is as grandiose as his nom de guerre, a man so elusive that even his nationality is not known. Shielded by sophisticated encryption software, his network communicates in total secrecy, leaving the West blind to his planning—and leaving Gabriel no choice but to insert an agent into the most dangerous terrorist group the world has ever known. Natalie Mizrahi is an extraordinary young doctor as brave as she is beautiful. At Gabriel’s behest, she will pose as an ISIS recruit in waiting, a ticking time bomb, a black widow out for blood.Her perilous mission will take her from the restive suburbs of Paris to the island of Santorini and the brutal world of the Islamic State’s new caliphate, and eventually to Washington, D.C., where the ruthless Saladin is plotting an apocalyptic night of terror that will alter the course of history. The Black Widow is a riveting thriller of shocking prescience. But it is also a thoughtful journey into the new heart of darkness that will haunt readers long after they have turned the final page.","['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'Mystery Thriller', 'Spy Thriller', 'Audiobook', 'Action', 'Crime']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460313822l/27213121.jpg
Cosmology,Steven Weinberg,"This book is unique in the detailed, self-contained, and comprehensive treatment that it gives to the ideas and formulas that are used and tested in modern cosmological research. It divides into two parts, each of which provides enough material for a one-semester graduate course. The first part deals chiefly with the isotropic and homogeneous average universe; the second part concentrates on the departures from the average universe. Throughout the book the author presents detailed analytic calculations of cosmological phenomena, rather than just report results obtained elsewhere by numerical computation. The book is up to date, and gives detailed accounts of topics such as recombination, microwave background polarization, leptogenesis, gravitational lensing, structure formation, and multifield inflation, that are usually treated superficially if at all in treatises on cosmology. Copious references to current research literature are supplied. Appendices include a brief introduction to general relativity, and a detailed derivation of the Boltzmann equation for photons and neutrinos used in calculations of cosmological evolution. Also provided is an assortment of problems.","['Physics', 'Science', 'Astronomy', 'Nonfiction', 'Textbooks']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348592200l/2607710.jpg
"Love, Aubrey",Suzanne LaFleur (Goodreads Author),"""I had everything I needed to run a household: a house, food, and a new family. From now on it would just be me and Sammy–the two of us, and no one else.""A tragic accident has turned eleven-year-old Aubrey’s world upside down. Starting a new life all alone, Aubrey has everything she thinks she needs: SpaghettiOs and Sammy, her new pet fish. She cannot talk about what happened to her. Writing letters is the only thing that feels right to Aubrey, even if no one ever reads them.With the aid of her loving grandmother and new friends, Aubrey learns that she is not alone, and gradually, she finds the words to express feelings that once seemed impossible to describe. The healing powers of friendship, love, and memory help Aubrey take her first steps toward the future.Readers will care for Aubrey from page one and will watch her grow until the very end, when she has to make one of the biggest decisions of her life.Love, Aubrey is devastating, brave, honest, funny, and hopeful, and it introduces a remarkable new writer, Suzanne LaFleur. No matter how old you are, this book is not to be missed.","['Realistic Fiction', 'Middle Grade', 'Young Adult', 'Fiction', 'Contemporary', 'Childrens', 'Juvenile', 'Family', 'Death', 'Teen']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442769697l/5982448._SX318_.jpg
Horus Rising,Dan Abnett (Goodreads Author),"After thousands of years of expansion and conquest, the imperium of man is at its height. His dream for humanity nearly accomplished, the emperor hands over the reins of power to his warmaster, Horus, and heads back to Terra. But is Horus strong enough to control his fellow commanders and continue the emperor's grand design?","['Science Fiction', 'Fiction', '40k', 'Fantasy', 'War', 'Audiobook', 'Space Opera', 'Science Fiction Fantasy', 'Novels', 'Military Fiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414166935l/625603.jpg
Leaven of Malice,Robertson Davies,"following announcement appeared in the Salterton Evening Bellman: ""Professor and Mrs. Walter Vambrace are pleased to announce the engagement of their daughter, Pearl Veronica, to Solomon Bridgetower, Esq., son of...""Although the malice that prompted the insertion of this false engagement notice was aimed at three people only-Solly Bridgetower, a junior instructor in English at Waverly University; Pearl Vambrace, the subdued daughter of a domineering professor; and Gloster Ridley, the anxiety-ridden editor of the Evening Bellman-before the leaven of malice had ceased to work it had changed permanently, for good or ill, the lives of many of the citizens of Salterton. Robertson Davies jumps at the opportunity this situation provides to create memorable characters and lasting impressions.","['Fiction', 'Canada', 'Literary Fiction', 'Literature', 'Humor', 'Novels', '20th Century', 'Contemporary', 'Classics', 'Audiobook']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469066564l/48270.jpg
Kilgannon,Kathleen Givens,"A place where love and war collide--and she would be possessed by the Scottish chieftain they called . . . barbarianEnter a world of breathtaking romance and rugged adventure. Enter the world of Kilgannon--an unforgettable story of love and treachery in a great Scottish clan. Kathleen Givens's magnificent novel sweeps from Queen Anne's London to the Highland wilderness . . . and into the hearts of one proud, passionate family: the MacGannons of . . . Kilgannon.Mary Lowell wasn't interested in marriage despite her aunt's determination to find her a husband by the end of the London Season. Then Alex MacGannon, Earl of Kilgannon, strode into the ballroom and commanded her heart. They called him a barbarian, a rough-hewn Scot--chieftain of clan MacGannon. They said no woman could hold him, as he set sail on the high seas. But Alex returned to claim Mary Lowell as his own, to carry her off to Scotland, to his magnificent ancestral castle, Kilgannon. And as the Highlands are torn by rebellion, Mary will find passion--and danger--in the rugged land she would now call home.Watch for the next book in the magnificent Kilgannon saga: The Wild Rose of Kilgannon, coming in November 1999 from Dell.","['Historical Fiction', 'Historical Romance', 'Romance', 'Historical', 'Scotland', 'Fiction', 'Adult', 'Adult Fiction', 'Chick Lit', 'M F Romance']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403167019l/481524.jpg
The Catcher in the Rye,J.D. Salinger,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.","['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107.jpg
In a Strange Room,Damon Galgut,"A young man takes three journeys, through Greece, India and Africa. He travels lightly, simply. To those who travel with him and those whom he meets on the way - including a handsome, enigmatic stranger, a group of careless backpackers and a woman on the edge - he is the Follower, the Lover and the Guardian. Yet, despite the man's best intentions, each journey ends in disaster. Together, these three journeys will change his whole life. A novel of longing and thwarted desire, rage and compassion, ""In a Strange Room"" is the hauntingly beautiful evocation of one man's search for love, and a place to call home.","['Fiction', 'Travel', 'Africa', 'South Africa', 'Short Stories', 'Literature', 'Literary Fiction', 'Contemporary', 'Novels', 'India']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356463430l/7199961.jpg
La Machine infernale,Jean Cocteau,"Obéissant à l'oracle, Oedipe résout l'énigme du Sphinx, tue son père et épouse sa mère. La peste s'abat sur Thèbes qui a couronné un inceste et un parricide. Quand un berger dévoile la vérité, la machine infernale des dieux explose. Oedipe se crève les yeux et sa mère se pend. S'inspirant du théâtre de Sophocle, Cocteau redonne vie aux grandes figures grecques : Oedipe, Jocaste, Antigone et Créon. Il philosophe en virtuose. Non, l'homme n'est pas libre. Il naît aveugle et les dieux règlent sa destinée. Même le héros, celui qui sort du rang, doit se soumettre. Ce grand texte dit tout sur l'homme avec infiniment d'humour et de poésie.","['Plays', 'France', 'Theatre', 'Drama', 'Fiction', 'French Literature', 'Classics', 'School', '20th Century', 'Literature']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1186270227l/1643889.jpg
